epoch,coxLoss,stratLoss,trainCI,valCI,variance
294,-0.2920,0.0000,0.7336,0.7328,0.6897239089012146
295,-0.2786,0.0000,0.7328,0.7332,0.6899685859680176
296,-0.2844,0.0000,0.7364,0.7334,0.6879239082336426
297,-0.2770,0.0000,0.7328,0.7338,0.6892431378364563
298,-0.2834,0.0000,0.7326,0.7342,0.6879787445068359
299,-0.2846,0.0000,0.7319,0.7343,0.6907244920730591
300,-0.2830,0.0000,0.7325,0.7345,0.6861768364906311
301,-0.2848,0.0000,0.7300,0.7348,0.6906432509422302
302,-0.2797,0.0000,0.7318,0.7349,0.6930665969848633
303,-0.2729,0.0000,0.7276,0.7352,0.6945480108261108
304,-0.2832,0.0000,0.7314,0.7351,0.6895597577095032
305,-0.2853,0.0000,0.7314,0.7353,0.6859272718429565
306,-0.2874,0.0000,0.7312,0.7354,0.686197817325592
307,-0.2845,0.0000,0.7356,0.7355,0.6856315732002258
308,-0.2914,0.0000,0.7330,0.7359,0.6929790377616882
309,-0.2853,0.0000,0.7313,0.7359,0.6915020942687988
310,-0.2943,0.0000,0.7323,0.7360,0.6933724284172058
311,-0.2823,0.0000,0.7316,0.7362,0.69797283411026
312,-0.2908,0.0000,0.7360,0.7363,0.6938896775245667
313,-0.2934,0.0000,0.7370,0.7363,0.6958574056625366
314,-0.2823,0.0000,0.7330,0.7367,0.6928330063819885
315,-0.2892,0.0000,0.7340,0.7367,0.6936468482017517
316,-0.2722,0.0000,0.7286,0.7369,0.6954150199890137
317,-0.2835,0.0000,0.7328,0.7370,0.6948636770248413
318,-0.2824,0.0000,0.7327,0.7372,0.6963305473327637
319,-0.2848,0.0000,0.7301,0.7373,0.6962822079658508
320,-0.2915,0.0000,0.7362,0.7373,0.6922732591629028
321,-0.2860,0.0000,0.7321,0.7374,0.6983234286308289
322,-0.2848,0.0000,0.7329,0.7375,0.6971530318260193
323,-0.2944,0.0000,0.7345,0.7375,0.6904157400131226
324,-0.2897,0.0000,0.7317,0.7378,0.691059410572052
325,-0.2856,0.0000,0.7320,0.7379,0.6886231303215027
326,-0.2825,0.0000,0.7322,0.7379,0.693392813205719
327,-0.2897,0.0000,0.7342,0.7380,0.692112922668457
328,-0.2970,0.0000,0.7354,0.7381,0.6888021230697632
329,-0.2816,0.0000,0.7310,0.7380,0.6956632137298584
330,-0.2889,0.0000,0.7360,0.7379,0.6999372243881226
331,-0.2946,0.0000,0.7340,0.7380,0.6936408877372742
332,-0.2866,0.0000,0.7363,0.7381,0.6900948286056519
333,-0.2859,0.0000,0.7329,0.7381,0.688681960105896
334,-0.2881,0.0000,0.7326,0.7380,0.690585732460022
335,-0.2842,0.0000,0.7329,0.7379,0.6962061524391174
336,-0.3002,0.0000,0.7376,0.7378,0.6939029097557068
337,-0.2926,0.0000,0.7348,0.7377,0.6987099647521973
338,-0.2826,0.0000,0.7302,0.7377,0.6982385516166687
339,-0.2921,0.0000,0.7347,0.7377,0.6946321725845337
340,-0.2974,0.0000,0.7371,0.7378,0.7011681199073792
341,-0.2938,0.0000,0.7358,0.7380,0.6956215500831604
342,-0.2896,0.0000,0.7332,0.7379,0.7028211951255798
343,-0.2873,0.0000,0.7317,0.7380,0.6887919306755066
